,LJL7,0MRS,5JMY,PARY
Pt,111.9,-159.2,77.5,-30.1
RawPt,66.8,-121.0,102.8,-48.6
AP,2.5,2.56,2.47,2.47
RR,19.28,16.72,17.17,16.72
WR,22.59,16.42,21.54,19.13
DIR,12.2,11.75,12.8,9.64
RenR,50.0,51.52,46.97,51.52
A4R,72.73,66.67,83.33,77.27
RWR,46.09,46.85,50.0,45.95
RDIR,12.5,14.41,14.91,6.31
APW,6341.0,7360.0,6734.0,6321.0
APD,5673.0,5727.0,5396.0,5167.0
1st,18.0,17.0,15.0,16.0
2nd,15.0,17.0,16.0,18.0
3rd,15.0,10.0,24.0,17.0
4th,18.0,22.0,11.0,15.0
HiScr,66400.0,62600.0,70200.0,50800.0
LoScr,-5500.0,-4800.0,-7300.0,-20300.0
