,LJL7,0MRS,5JMY,PARY
Pt,-48.2,4.8,155.2,-111.7
RawPt,-62.0,-22.4,184.8,-100.4
AP,2.55,2.45,2.39,2.58
RR,19.52,21.45,18.67,19.28
WR,20.84,21.81,20.96,20.6
DIR,14.7,13.98,10.72,14.22
RenR,50.75,52.24,55.22,43.28
A4R,73.13,74.63,83.58,68.66
RWR,46.3,48.31,46.45,45.62
RDIR,14.2,11.8,12.26,8.12
APW,7407.0,6886.0,7206.0,6771.0
APD,6326.0,6292.0,5383.0,5910.0
1st,14.0,19.0,15.0,20.0
2nd,20.0,16.0,22.0,9.0
3rd,15.0,15.0,19.0,17.0
4th,18.0,17.0,11.0,21.0
HiScr,75200.0,84800.0,77200.0,94000.0
LoScr,-52100.0,-36500.0,-14600.0,-24200.0
